Gross,Release Year,Rank,Peak
2923706026.0,2009,1,1
2797501328.0,2019,2,1
2320250281.0,2022,3,3
2257844554.0,1997,4,1
2204060000.0,2025,5,5
2068223624.0,2015,6,3
2048359754.0,2018,7,4
1922598800.0,2021,8,6
1698863816.0,2024,9,8
1671537444.0,2015,10,3
1656943394.0,2019,11,7
1518815515.0,2012,12,3
1515341399.0,2015,13,4
1495696292.0,2022,14,11
1450026933.0,2019,15,10
1447038421.0,2023,16,14
1402809540.0,2015,17,5
1360847665.0,2023,18,15
1347280838.0,2018,19,9
1342139727.0,2011,20,3
1338073645.0,2024,21,20
1332539889.0,2017,22,9
1308473425.0,2018,23,12
1290000000.0,2013,24,5
1263521126.0,2017,25,10
1242805359.0,2018,26,15
81238764765.0,2017,27,11
1214811252.0,2013,28,5
1159444662.0,2015,29,10
1153337496.0,2016,30,12
1148528393.0,2018,31,20
1147997407.0,2003,32,2
1132679685.0,2019,33,0
1128274794.0,2019,34,0
1123794079.0,2011,35,0
1108594137.0,2012,36,7
1104054072.0,2014,37,10
1081169825.0,2012,38,7
1074458282.0,2019,39,31
1074144248.0,2019,40,32
1073394593.0,2019,41,30
1066970811.0,2010,42,0
1066179747.0,2006,43,3
1059242164.0,2024,44,44
1057420387.0,2016,45,20
1050693953.0,2019,46,34
1046515409.0,1999,47,2
1045713802.0,2011,48,6
1037535230.0,1993,49,1
1034800131.0,2017,50,24
